plot,total_seednum,canopysp,block
hial1,10779,hial,1
hial2,36411,hial,2
hial3,1881,hial,3
hial4,3748,hial,4
pema1,8231,pema,1
pema2,4287,pema,2
pema3,11886,pema,3
pema4,12165,pema,4
viko1,6732,viko,1
viko2,13850,viko,2
viko3,12931,viko,3
viko4,3067,viko,4
vogu2,3107,vogu,2
vogu3,2744,vogu,3
vogu4,1503,vogu,4
