plot,total_seednum,canopysp,block
hial1,10776,hial,1
hial2,36410,hial,2
hial3,1880,hial,3
hial4,3745,hial,4
pema1,8231,pema,1
pema2,4287,pema,2
pema3,11884,pema,3
pema4,12165,pema,4
viko1,6732,viko,1
viko2,13849,viko,2
viko3,12930,viko,3
viko4,3066,viko,4
vogu2,3105,vogu,2
vogu3,2743,vogu,3
vogu4,1500,vogu,4
